"CONTENT_ID","DO_NM","FACLT_DIV_NM","FACLT_NM","INDUTY","LCT_CL","MANAGE_STTUS","OPER_PD_CL","ROOM_COUNT","SBRS_CL","SIGUNGU_NM","SITE_BOTTOM_CL1","SITE_BOTTOM_CL2","SITE_BOTTOM_CL3","SITE_BOTTOM_CL4","SITE_BOTTOM_CL5"
100128,"강원도","민간","숲속의아침","일반야영장","계곡","운영","봄,여름,가을,겨울","41","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","영월군","0","14","9","0","0"
100129,"충청북도","민간","둥지캠핑장","자동차야영장","숲","운영","봄,여름,가을,겨울","20","전기,장작판매,온수,물놀이장,놀이터,운동시설","보은군","0","20","0","0","0"
100130,"전라남도","민간","개랭이 오토 캠핑장","일반야영장,글램핑","산","운영","봄,여름,가을,겨울","12","전기,무선인터넷,온수","순천시","0","0","7","0","0"
100131,"경기도","민간","또바기 스파글램핑","글램핑","산","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","가평군","0","0","0","0","0"
100132,"경상북도","민간","에코팜 부설 오토캠핑장","일반야영장,글램핑","숲","운영","봄,여름,가을,겨울","33","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","포항시","0","0","0","32","0"
100133,"경상남도","민간","한별 도그파크","일반야영장","숲,강","운영","봄,여름,가을,겨울","15","전기,무선인터넷,온수,물놀이장,산책로,운동시설,마트.편의점","함안군","0","7","8","0","0"
100134,"강원도","민간","양양 솔바다 캠핑장","일반야영장","해변,숲","운영","봄,여름,가을","11","전기,무선인터넷","양양군","0","0","11","0","0"
100135,"충청남도","민간","곰섬캠핑장 2구역","일반야영장","해변","운영","봄,여름,가을,겨울","11","전기,무선인터넷,장작판매,온수,놀이터,운동시설","태안군","0","11","0","0","0"
100136,"경기도","민간","노문 야영장","일반야영장","계곡","운영","봄,여름,가을","26","전기,장작판매","양평군","0","22","4","0","0"
100137,"전라북도","민간","부엉캠핑클럽","일반야영장","숲","운영","봄,여름,가을,겨울","16","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","완주군","0","0","16","0","0"
100138,"경상북도","민간","구화산BBQ","글램핑","숲,도심","운영","봄,여름,가을,겨울","15","물놀이장,놀이터,산책로,운동시설","김천시","0","0","0","0","0"
100139,"경상남도","민간","지리산365오토캠핑펜션","일반야영장","계곡","운영","봄,여름,가을,겨울","17","전기,온수,물놀이장,놀이터,운동시설","산청군","0","5","12","0","0"
100140,"전라남도","민간","땡땡이글램핑","글램핑","숲","운영","봄,여름,가을,겨울","10","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","장흥군","0","0","0","0","0"
100141,"경기도","","달빛정원글램핑&카라반","일반야영장","","운영","봄,여름,가을,겨울","0","","가평군","0","0","0","0","0"
100142,"경상북도","민간","산내956","글램핑","계곡","운영","봄,여름,가을,겨울","20","운동시설","경주시","0","0","0","0","0"
100143,"경기도","민간","포천 라온글램핑&오토캠핑장","일반야영장,글램핑","숲","운영","봄,여름,가을,겨울","28","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점","포천시","0","0","0","0","0"
100144,"인천시","지자체","인천청라국제도시 해변공원캠핑장","일반야영장","도심","운영","봄,여름,가을,겨울","52","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설,마트.편의점","서구","0","0","13","25","0"
100145,"경기도","민간","무수캠핑장","일반야영장","산","운영","봄,여름,가을,겨울","24","전기,장작판매,온수,산책로,마트.편의점","평택시","0","0","0","0","0"
100146,"강원도","민간","세븐캠핑장","자동차야영장","계곡","운영","봄,여름,가을,겨울","36","전기,무선인터넷,장작판매,온수,운동시설","양양군","0","36","0","0","0"
100147,"충청남도","민간","아우내관광농원캠핑장","자동차야영장","산","운영","봄,여름,가을,겨울","48","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","천안시","0","38","6","0","0"
100148,"경상북도","민간","레끄레오캠핑장","일반야영장","숲,계곡","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수,놀이터,운동시설","청도군","0","15","0","0","0"
