"RATE_IDX","RATING","CONTENT_ID","NO_DATA"
1,3.1,7895,1
2,1.3,100725,1
3,4.4,100365,1
4,2.7,3042,1
5,1,100488,1
6,3.1,100028,1
7,4.2,2885,1
8,4.1,100989,1
9,1,1118,1
10,2.6,8162,1
11,1.7,18,1
12,2.8,100972,1
13,3.1,7906,1
14,4.1,100994,1
15,2,100553,1
16,3.8,100758,1
17,2.6,7691,1
18,2,824,1
19,3.8,1260,1
20,3.6,2783,1
21,2.4,7246,1
22,3.1,100802,1
23,1.9,8082,1
24,1.9,100724,1
25,3.6,100500,1
26,1.9,818,1
27,3.9,2881,1
28,3.9,100709,1
29,1.5,3010,1
30,4.4,100363,1
31,3.1,677,1
32,1.9,645,1
33,1.5,100860,1
34,4.5,100475,1
35,1.5,6955,1
36,4.3,101328,1
37,1.1,7794,1
38,4.2,831,1
39,1.9,100529,1
40,4.1,1192,1
41,4,7033,1
42,4.1,100005,1
43,4.5,100397,1
44,5,3352,1
45,3.7,2625,1
46,3,100680,1
47,3.4,101134,1
48,4.6,1525,1
49,4.6,100780,1
50,4.8,1360,1
51,4,774,1
52,3.2,100496,1
53,4.1,100525,1
54,3.4,7775,1
55,3,851,1
56,2,7989,1
57,4.4,168,1
58,4.8,100313,1
59,3.2,8169,1
60,1.3,7760,1
61,1.4,2269,1
62,1.9,2339,1
63,1.9,7488,1
64,2.5,8132,1
65,3.3,101293,1
66,1.6,7996,1
67,3.9,100196,1
68,4.7,7391,1
69,1.4,100853,1
70,1.4,1592,1
71,4,8197,1
72,3.5,167,1
73,4.5,100577,1
74,2.8,1987,1
75,1.8,100679,1
76,1.2,2831,1
77,1.7,2961,1
78,2.8,2014,1
79,3.7,1380,1
80,2.7,101349,1
81,4.5,193,1
82,1.4,597,1
83,4.7,7292,1
84,3.3,101359,1
85,4.7,100567,1
86,4.9,2911,1
87,1.9,100258,1
88,1.1,101253,1
89,1.8,7918,1
90,3.3,8008,1
91,4,101086,1
92,4.5,578,1
93,2.7,3412,1
94,2.8,6822,1
95,2.6,190,1
96,1.2,8217,1
97,3.6,100016,1
98,3.1,101050,1
99,3.8,733,1
100,4.4,2179,1
101,2.9,7756,1
102,4.1,6821,1
103,3.3,7926,1
104,1.4,101390,1
105,4.4,100009,1
106,3.6,7876,1
107,3.2,7834,1
108,3.1,7584,1
109,1.6,7186,1
110,4.5,7972,1
111,1.2,7255,1
112,4.8,101059,1
113,4.9,3415,1
114,1.9,101340,1
115,3,2977,1
116,2.6,7106,1
117,3,100039,1
118,4.9,3174,1
119,4.6,2341,1
120,4.9,100299,1
121,3,2794,1
122,1.5,1030,1
123,2.7,7119,1
124,2.4,3083,1
125,2.7,7195,1
126,4.7,100270,1
127,1.6,7547,1
128,2.4,7187,1
129,3.6,100415,1
130,4.9,101095,1
131,1.5,2345,1
132,4.9,101082,1
133,1.7,7645,1
134,4.7,6778,1
135,4.5,100906,1
136,2.4,100126,1
137,3,1075,1
138,2.8,101393,1
139,4.5,7126,1
140,1.7,1303,1
141,3,7353,1
142,1.3,101292,1
143,2.7,2412,1
144,4.6,8203,1
145,2.7,100070,1
146,1.7,100143,1
147,4.3,100232,1
148,3.1,1237,1
149,3.5,7134,1
150,3.6,7249,1
151,2.2,100396,1
152,2.3,100198,1
153,5,100954,1
154,3.2,100683,1
155,1.1,1446,1
156,2.2,101039,1
157,3.1,8102,1
158,3.9,101396,1
159,1.4,7599,1
160,3.1,7135,1
161,1.2,7072,1
162,2.9,100011,1
163,4.6,100719,1
164,2.7,1621,1
165,4.4,7100,1
166,1.6,7765,1
167,2.1,100890,1
168,1.5,100772,1
169,4.9,2894,1
170,1.9,100285,1
171,3.2,7344,1
172,1.4,1838,1
173,2,1389,1
174,3,2907,1
175,4.5,615,1
176,2.6,3546,1
177,2,100387,1
178,4.6,100676,1
179,2.1,3229,1
180,1.6,100738,1
181,3.3,3251,1
182,4.4,2822,1
183,1.4,100546,1
184,2.3,3084,1
185,1,7812,1
186,4.6,7063,1
187,1.8,8033,1
188,4.3,8091,1
189,4.4,101335,1
190,4.2,100360,1
191,4.6,7481,1
192,4,1448,1
193,2.3,100592,1
194,1.7,100256,1
195,4.2,1216,1
196,4.5,100692,1
197,3.3,101385,1
198,4.1,100012,1
199,1.6,100761,1
200,3.9,101011,1
201,2.7,8100,1
202,1.4,3623,1
203,4.9,2882,1
204,3.6,100307,1
205,3.3,510,1
206,1.9,1045,1
207,4.5,358,1
208,4.1,100876,1
209,4.4,100084,1
210,2.5,7499,1
211,1.2,1542,1
212,1.1,2944,1
213,4.1,3289,1
214,1,100274,1
215,1.8,3487,1
216,2.4,100227,1
217,2.5,100579,1
218,2.5,784,1
219,3.8,3291,1
220,3.9,101069,1
221,4.4,8182,1
222,2.1,3340,1
223,1.8,3361,1
224,2.2,7476,1
225,3.6,7442,1
226,2.1,100300,1
227,4.1,100223,1
228,3.2,7986,1
229,4.9,2224,1
230,3.2,101344,1
231,3.4,6764,1
232,3.8,2853,1
233,1.7,100263,1
234,4.8,100416,1
235,4.2,2997,1
236,4.3,1696,1
237,2.4,7714,1
238,3.4,100545,1
239,1.3,8081,1
240,4.5,100595,1
241,3.8,101400,1
242,3.1,100985,1
243,1.2,3064,1
244,2.5,3162,1
245,2.1,8002,1
246,4.2,100696,1
247,3.8,7030,1
248,3.4,100863,1
249,3.7,6968,1
250,2.9,1344,1
251,2.6,2782,1
252,5,2703,1
253,2,1997,1
254,1.5,8075,1
255,2.4,7324,1
256,3.5,173,1
257,4.3,100986,1
258,4.1,101101,1
259,4.7,8060,1
260,1.4,2393,1
261,2.3,2155,1
262,4.3,8187,1
263,2.6,6799,1
264,4.7,7805,1
265,3.1,100800,1
266,1.2,7207,1
267,4.3,3379,1
268,1.1,3201,1
269,3.3,2420,1
270,2.9,739,1
271,4.8,8127,1
272,2.1,100784,1
273,4.5,3588,1
274,1.9,7336,1
275,1.9,1794,1
276,1.9,101231,1
277,3.6,8130,1
278,2.5,2954,1
279,1,1996,1
280,2.3,2044,1
281,4.2,403,1
282,4.5,7303,1
283,2.6,7864,1
284,2.9,101132,1
285,5,7889,1
286,1.4,342,1
287,4.1,2935,1
288,4,2632,1
289,2.6,3395,1
290,2.5,100205,1
291,4.8,100544,1
292,3.3,1709,1
293,3.6,198,1
294,2.9,7567,1
295,2.2,6850,1
296,3.4,100102,1
297,2.8,592,1
298,4,1580,1
