"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"(주)아웃오브파크","10","운영","카라반","산,강","강원도","춘천시","봄,여름,가을,겨울","운동시설","민간","0","0","0","0","0","40"
"파크킹","100000","운영","자동차야영장","숲","경상북도","김천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","3","0","0","29","0","32"
"봉즈살롱","100001","운영","자동차야영장","강","강원도","횡성군","봄,여름,가을,겨울","전기,무선인터넷,물놀이장","민간","0","7","0","0","0","7"
"힐링피아 카라반 글램핑 풀 캠핑장","100002","운영","일반야영장","산,숲,강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","0","15","0","0","16"
"우니메이카 태안점","100003","운영","자동차야영장","숲","충청남도","태안군","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,운동시설","민간","0","0","15","0","0","15"
"뇌운계곡글램핑","100004","운영","글램핑","산","강원도","평창군","봄,여름,가을,겨울","전기,무선인터넷","민간","0","0","0","0","0","7"
"충주 비내캠프 체험학습장","100005","운영","자동차야영장","숲","충청북도","충주시","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,산책로,운동시설,마트.편의점","민간","0","28","0","0","0","28"
"솔비치캠핑장","100006","운영","일반야영장","해변","충청남도","태안군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설","민간","0","30","0","0","0","30"
"가온오토캠핑장","100007","운영","일반야영장","숲","경상북도","포항시","봄,여름,가을","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","민간","0","0","8","23","0","31"
"림스 글램핑","100008","운영","일반야영장,카라반,글램핑","숲","전라남도","강진군","봄,여름,가을,겨울","전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터","민간","0","0","0","0","0","23"
"호미곶유니의바다 카라반캠핑장","100009","운영","카라반","해변","경상북도","포항시","봄,여름,가을,겨울","전기,무선인터넷,온수,놀이터,운동시설","민간","0","0","0","0","0","15"
"예손캠핑장","100010","운영","일반야영장","숲","경상북도","고령군","봄,여름,가을,겨울","전기,장작판매,놀이터,운동시설","민간","0","13","0","0","0","13"
"(주)웨이브파크","100011","운영","카라반","해변","경기도","시흥시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","0","0","0","0","15"
"포에스카라반파크","100012","운영","일반야영장","해변","경상북도","포항시","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","38"
"약수동산","100013","운영","일반야영장","산","경기도","양평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","15","5","0","0","20"
"학암포글램핑","100014","운영","글램핑","해변","충청남도","태안군","봄,여름,가을,겨울","전기,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","13"
"더예감스테이","100015","운영","일반야영장","산","경상남도","산청군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","민간","0","57","8","0","0","72"
"캠프더포레","100016","운영","일반야영장","숲,계곡","경상남도","함양군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","17","10","0","0","27"
"태그하우스","100017","운영","카라반","해변","인천시","강화군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장","민간","0","0","0","0","0","5"
"양지뜰캠핑장","100019","운영","자동차야영장","계곡","전라북도","무주군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","28","0","0","0","28"
"우리들캠핑장","100020","운영","일반야영장,글램핑","산,계곡","강원도","양양군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","10","0","0","0","12"
"밤벌캠핑장","100021","운영","일반야영장","","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설,마트.편의점","민간","0","35","15","0","0","50"
"청춘캠핑장","100022","운영","카라반,글램핑","강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,운동시설","민간","0","0","0","0","0","5"
"단아한","100023","운영","자동차야영장","숲","전라북도","순창군","봄,여름,가을","전기,무선인터넷,온수,물놀이장,운동시설","민간","0","0","0","0","0","2"
"고래불해수욕장(병곡지구) 야영장","100025","운영","일반야영장","","경상북도","영덕군","여름","","지자체","0","0","0","0","0","0"
"다시캠핑장","100026","운영","자동차야영장","숲","경상북도","고령군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","12","0","0","0","12"
"산내들캠프","100027","운영","일반야영장","계곡","경상북도","경주시","봄,여름,가을,겨울","전기,장작판매,물놀이장,놀이터,산책로,운동시설","민간","0","0","0","15","0","15"
"고래불해수욕장(영리지구) 야영장","100028","운영","일반야영장","","경상북도","영덕군","여름","","지자체","0","0","0","0","0","0"
"빗소리야영장","100029","운영","일반야영장","숲","경상북도","청도군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","27","0","0","0","27"
"화성시 매송 오토캠핑장","100031","운영","일반야영장","호수","경기도","화성시","봄,여름,가을,겨울","전기,무선인터넷","지자체","0","0","25","0","0","25"
"캠핑느루","100032","운영","자동차야영장","산,숲,계곡","강원도","고성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","7","1","0","0","8"
"자작도캠핑장","100033","운영","자동차야영장","해변","강원도","고성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","지자체","0","0","28","0","0","28"
"오렌지캠프","100035","운영","일반야영장","숲","충청북도","보은군","봄,여름,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","민간","0","11","0","0","0","11"
"웰니스 권역 야영장","100036","운영","자동차야영장","숲","충청남도","공주시","봄,여름,가을,겨울","전기,온수,놀이터,산책로,운동장","민간","0","20","0","0","0","20"
"캠프고일리","100037","운영","일반야영장","산","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,온수,트렘폴린,물놀이장,산책로","민간","4","0","0","0","0","4"
"하늘아래 야영장","100038","운영","카라반","숲","대구시","수성구","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","14"
"명파리해변야영장","100039","운영","일반야영장","해변","강원도","고성군","봄,여름,가을,겨울","전기,장작판매,온수,운동시설","지자체","0","0","21","0","0","21"
